repository,task,variant,family,trial_count,exit_success_rate,accepted_count_mean,rejected_count_mean,accepted_rate_mean,regression_gate_failures_mean,rollback_success_rate,improvement_depth_mean,cost_proxy_seconds_mean,changed_files_count_mean
compact_kernel_repo,forced_broad_regression,agent_coding_loop,baseline_agent_coding_loop,2,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.49,0.0
compact_kernel_repo,forced_broad_regression,ci_only_validation,baseline_ci_only,2,0.0,0.0,0.0,0.0,0.0,,0.0,0.216,0.0
compact_kernel_repo,forced_broad_regression,evolutionary_repair_loop,baseline_evolutionary_repair_loop,2,1.0,2.0,0.0,1.0,0.0,,2.0,0.4995,3.0
compact_kernel_repo,forced_broad_regression,focused_only_loop,ablation_no_broad_gate,2,1.0,2.0,0.0,1.0,0.0,,2.0,0.4995,3.0
compact_kernel_repo,forced_broad_regression,no_persistence,ablation_no_persistence,2,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.919,0.0
compact_kernel_repo,forced_broad_regression,no_rollback,ablation_no_rollback,2,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.9245000000000001,3.0
compact_kernel_repo,forced_broad_regression,no_thdse_core_gate,ablation_no_z3_thdse_gate,2,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.9155,0.0
compact_kernel_repo,forced_broad_regression,verified_closed_loop,proposed,2,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.9185000000000001,0.0
compact_kernel_repo,local_corpus_queries_clean,agent_coding_loop,baseline_agent_coding_loop,2,1.0,1.0,0.0,1.0,0.0,,1.0,0.476,2.0
compact_kernel_repo,local_corpus_queries_clean,ci_only_validation,baseline_ci_only,2,1.0,0.0,0.0,0.0,0.0,,0.0,0.20400000000000001,0.0
compact_kernel_repo,local_corpus_queries_clean,evolutionary_repair_loop,baseline_evolutionary_repair_loop,2,1.0,2.0,0.0,1.0,0.0,,2.0,0.496,3.0
compact_kernel_repo,local_corpus_queries_clean,focused_only_loop,ablation_no_broad_gate,2,1.0,2.0,0.0,1.0,0.0,,2.0,0.4975,3.0
compact_kernel_repo,local_corpus_queries_clean,no_persistence,ablation_no_persistence,2,1.0,2.0,0.0,1.0,0.0,,2.0,0.886,3.0
compact_kernel_repo,local_corpus_queries_clean,no_rollback,ablation_no_rollback,2,1.0,2.0,0.0,1.0,0.0,,2.0,0.8955,3.0
compact_kernel_repo,local_corpus_queries_clean,no_thdse_core_gate,ablation_no_z3_thdse_gate,2,1.0,2.0,0.0,1.0,0.0,,2.0,0.8875,3.0
compact_kernel_repo,local_corpus_queries_clean,verified_closed_loop,proposed,2,1.0,2.0,0.0,1.0,0.0,,2.0,0.911,3.0
compact_kernel_repo,policy_registry_self_patch,agent_coding_loop,baseline_agent_coding_loop,2,1.0,1.0,0.0,1.0,0.0,,1.0,0.483,3.0
compact_kernel_repo,policy_registry_self_patch,ci_only_validation,baseline_ci_only,2,0.0,0.0,0.0,0.0,0.0,,0.0,0.2145,0.0
compact_kernel_repo,policy_registry_self_patch,evolutionary_repair_loop,baseline_evolutionary_repair_loop,2,1.0,1.0,0.0,1.0,0.0,,1.0,0.2825,3.0
compact_kernel_repo,policy_registry_self_patch,focused_only_loop,ablation_no_broad_gate,2,1.0,1.0,0.0,1.0,0.0,,1.0,0.282,3.0
compact_kernel_repo,policy_registry_self_patch,no_persistence,ablation_no_persistence,2,1.0,1.0,0.0,1.0,0.0,,1.0,0.481,3.0
compact_kernel_repo,policy_registry_self_patch,no_rollback,ablation_no_rollback,2,1.0,1.0,0.0,1.0,0.0,,1.0,0.4815,3.0
compact_kernel_repo,policy_registry_self_patch,no_thdse_core_gate,ablation_no_z3_thdse_gate,2,1.0,1.0,0.0,1.0,0.0,,1.0,0.483,3.0
compact_kernel_repo,policy_registry_self_patch,verified_closed_loop,proposed,2,1.0,1.0,0.0,1.0,0.0,,1.0,0.486,3.0
omega_full_repo,forced_broad_regression,agent_coding_loop,baseline_agent_coding_loop,2,1.0,0.0,1.0,0.0,1.0,1.0,0.0,18.494999999999997,0.0
omega_full_repo,forced_broad_regression,ci_only_validation,baseline_ci_only,2,0.0,0.0,0.0,0.0,0.0,,0.0,12.687000000000001,0.0
omega_full_repo,forced_broad_regression,evolutionary_repair_loop,baseline_evolutionary_repair_loop,2,1.0,2.0,0.0,1.0,0.0,,2.0,0.515,3.0
omega_full_repo,forced_broad_regression,focused_only_loop,ablation_no_broad_gate,2,1.0,2.0,0.0,1.0,0.0,,2.0,0.5185,3.0
omega_full_repo,forced_broad_regression,no_persistence,ablation_no_persistence,2,1.0,0.0,2.0,0.0,2.0,1.0,0.0,36.2885,0.0
omega_full_repo,forced_broad_regression,no_rollback,ablation_no_rollback,2,1.0,0.0,2.0,0.0,2.0,0.0,0.0,36.268,3.0
