task,variant,family,description,exit_code,elapsed_s,accepted_count,rejected_count,accepted_rate,regression_gate_failures,rollback_correct,persistence_file_exists,improvement_depth,cost_proxy_seconds,changed_files_count,summary_path,stdout_tail,stderr_tail
local_corpus_queries_clean,verified_closed_loop,proposed,"Full loop: candidate generation, patching, rollback, persistence, root broad gate, and THDSE core gate.",0,36.544,2,0,1.0,0,,True,2,36.544,4,/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__verified_closed_loop/.omega_rsi_runs/closed_rsi_summary.json,"   ""exit_code"": 0,
          ""label"": ""local_corpus_import_query_v1_compile"",
          ""stderr_tail"": """",
          ""stdout_tail"": """",
          ""timed_out"": false
        },
        {
          ""args"": [
            ""/opt/hostedtoolcache/Python/3.11.15/x64/bin/python"",
            ""-m"",
            ""pytest"",
            ""-q"",
            ""--import-mode=importlib"",
            ""--maxfail=5"",
            ""--disable-warnings"",
            ""tests/test_local_corpus_import_query_rewrite.py""
          ],
          ""cwd"": ""/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__verified_closed_loop"",
          ""elapsed_s"": 0.229,
          ""exit_code"": 0,
          ""label"": ""local_corpus_import_query_v1_focused"",
          ""stderr_tail"": """",
          ""stdout_tail"": "".                                                                        [100%]\n1 passed in 0.04s\n"",
          ""timed_out"": false
        },
        {
          ""args"": [
            ""/opt/hostedtoolcache/Python/3.11.15/x64/bin/python"",
            ""-m"",
            ""pytest"",
            ""-q"",
            ""--import-mode=importlib"",
            ""--maxfail=20"",
            ""--disable-warnings"",
            ""tests""
          ],
          ""cwd"": ""/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__verified_closed_loop"",
          ""elapsed_s"": 11.986,
          ""exit_code"": 0,
          ""label"": ""local_corpus_import_query_v1_root_broad"",
          ""stderr_tail"": """",
          ""stdout_tail"": ""........................................................................ [ 16%]\n........................................................................ [ 32%]\n........................................................................ [ 49%]\n.......................................................s................ [ 65%]\n........................................................................ [ 82%]\n..............................................................s......... [ 98%]\n.....                                                                    [100%]\n435 passed, 4 skipped in 11.61s\n"",
          ""timed_out"": false
        },
        {
          ""args"": [
            ""/opt/hostedtoolcache/Python/3.11.15/x64/bin/python"",
            ""-m"",
            ""pytest"",
            ""-q"",
            ""--import-mode=importlib"",
            ""--maxfail=20"",
            ""--disable-warnings"",
            ""tests/test_execution_sandbox.py"",
            ""tests/test_adaptive_threshold.py"",
            ""tests/test_direct_io_scoring.py"",
            ""tests/test_structural_diff.py"",
            ""tests/test_batch_correlation.py""
          ],
          ""cwd"": ""/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__verified_closed_loop/thdse"",
          ""elapsed_s"": 5.426,
          ""exit_code"": 0,
          ""label"": ""local_corpus_import_query_v1_thdse_core"",
          ""stderr_tail"": """",
          ""stdout_tail"": ""....................................                                     [100%]\n36 passed in 5.19s\n"",
          ""timed_out"": false
        }
      ],
      ""generation"": 2,
      ""goal"": {
        ""metric"": ""new import query API plus focused regression test"",
        ""name"": ""make_local_corpus_queryable_by_import"",
        ""rationale"": ""The corpus index stores static imports but lacks a direct import lookup API."",
        ""target"": ""shared.local_corpus.LocalCorpusIndex""
      },
      ""name"": ""local_corpus_import_query_v1"",
      ""started_at"": ""2026-05-26T07:27:46Z"",
      ""target_path"": ""shared/local_corpus.py"",
      ""test_path"": ""tests/test_local_corpus_import_query_rewrite.py""
    }
  ],
  ""active_base"": ""local_corpus_import_query_v1"",
  ""active_generation"": 2,
  ""broad_gate"": true,
  ""dry_run"": false,
  ""persistence"": true,
  ""rejected_this_run"": [],
  ""rollback"": true,
  ""state_path"": ""/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__verified_closed_loop/.omega_rsi_runs/closed_rsi_state.json"",
  ""thdse_core_gate"": true,
  ""total_accepted"": 2,
  ""total_rejected"": 0
}
",
local_corpus_queries_clean,focused_only_loop,ablation_no_broad_gate,"Ablation: focused tests only, no broad regression gate.",0,0.511,2,0,1.0,0,,True,2,0.511,3,/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__focused_only_loop/.omega_rsi_runs/closed_rsi_summary.json,"    ],
          ""cwd"": ""/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__focused_only_loop"",
          ""elapsed_s"": 0.033,
          ""exit_code"": 0,
          ""label"": ""local_corpus_feature_query_v1_compile"",
          ""stderr_tail"": """",
          ""stdout_tail"": """",
          ""timed_out"": false
        },
        {
          ""args"": [
            ""/opt/hostedtoolcache/Python/3.11.15/x64/bin/python"",
            ""-m"",
            ""pytest"",
            ""-q"",
            ""--import-mode=importlib"",
            ""--maxfail=5"",
            ""--disable-warnings"",
            ""tests/test_local_corpus_feature_query_rewrite.py""
          ],
          ""cwd"": ""/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__focused_only_loop"",
          ""elapsed_s"": 0.194,
          ""exit_code"": 0,
          ""label"": ""local_corpus_feature_query_v1_focused"",
          ""stderr_tail"": """",
          ""stdout_tail"": "".                                                                        [100%]\n1 passed in 0.02s\n"",
          ""timed_out"": false
        }
      ],
      ""generation"": 1,
      ""goal"": {
        ""metric"": ""new query API plus focused regression test"",
        ""name"": ""make_local_corpus_queryable_by_feature"",
        ""rationale"": ""The corpus index already extracts feature flags but lacks a stable query API."",
        ""target"": ""shared.local_corpus.LocalCorpusIndex""
      },
      ""name"": ""local_corpus_feature_query_v1"",
      ""started_at"": ""2026-05-26T07:28:04Z"",
      ""target_path"": ""shared/local_corpus.py"",
      ""test_path"": ""tests/test_local_corpus_feature_query_rewrite.py""
    },
    {
      ""accepted"": true,
      ""error"": """",
      ""extra_paths"": [],
      ""finished_at"": ""2026-05-26T07:28:04Z"",
      ""gates"": [
        {
          ""args"": [
            ""/opt/hostedtoolcache/Python/3.11.15/x64/bin/python"",
            ""-m"",
            ""py_compile"",
            ""shared/local_corpus.py"",
            ""tests/test_local_corpus_import_query_rewrite.py""
          ],
          ""cwd"": ""/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__focused_only_loop"",
          ""elapsed_s"": 0.033,
          ""exit_code"": 0,
          ""label"": ""local_corpus_import_query_v1_compile"",
          ""stderr_tail"": """",
          ""stdout_tail"": """",
          ""timed_out"": false
        },
        {
          ""args"": [
            ""/opt/hostedtoolcache/Python/3.11.15/x64/bin/python"",
            ""-m"",
            ""pytest"",
            ""-q"",
            ""--import-mode=importlib"",
            ""--maxfail=5"",
            ""--disable-warnings"",
            ""tests/test_local_corpus_import_query_rewrite.py""
          ],
          ""cwd"": ""/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__focused_only_loop"",
          ""elapsed_s"": 0.193,
          ""exit_code"": 0,
          ""label"": ""local_corpus_import_query_v1_focused"",
          ""stderr_tail"": """",
          ""stdout_tail"": "".                                                                        [100%]\n1 passed in 0.02s\n"",
          ""timed_out"": false
        }
      ],
      ""generation"": 2,
      ""goal"": {
        ""metric"": ""new import query API plus focused regression test"",
        ""name"": ""make_local_corpus_queryable_by_import"",
        ""rationale"": ""The corpus index stores static imports but lacks a direct import lookup API."",
        ""target"": ""shared.local_corpus.LocalCorpusIndex""
      },
      ""name"": ""local_corpus_import_query_v1"",
      ""started_at"": ""2026-05-26T07:28:04Z"",
      ""target_path"": ""shared/local_corpus.py"",
      ""test_path"": ""tests/test_local_corpus_import_query_rewrite.py""
    }
  ],
  ""active_base"": ""local_corpus_import_query_v1"",
  ""active_generation"": 2,
  ""broad_gate"": false,
  ""dry_run"": false,
  ""persistence"": true,
  ""rejected_this_run"": [],
  ""rollback"": true,
  ""state_path"": ""/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__focused_only_loop/.omega_rsi_runs/closed_rsi_state.json"",
  ""thdse_core_gate"": false,
  ""total_accepted"": 2,
  ""total_rejected"": 0
}
",
local_corpus_queries_clean,no_thdse_core_gate,ablation_no_z3_thdse_gate,Ablation: root broad gate enabled but THDSE/Z3-focused core gate skipped.,0,25.068,2,0,1.0,0,,True,2,25.068,4,/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__no_thdse_core_gate/.omega_rsi_runs/closed_rsi_summary.json,"ueryable_by_feature"",
        ""rationale"": ""The corpus index already extracts feature flags but lacks a stable query API."",
        ""target"": ""shared.local_corpus.LocalCorpusIndex""
      },
      ""name"": ""local_corpus_feature_query_v1"",
      ""started_at"": ""2026-05-26T07:28:04Z"",
      ""target_path"": ""shared/local_corpus.py"",
      ""test_path"": ""tests/test_local_corpus_feature_query_rewrite.py""
    },
    {
      ""accepted"": true,
      ""error"": """",
      ""extra_paths"": [],
      ""finished_at"": ""2026-05-26T07:28:29Z"",
      ""gates"": [
        {
          ""args"": [
            ""/opt/hostedtoolcache/Python/3.11.15/x64/bin/python"",
            ""-m"",
            ""py_compile"",
            ""shared/local_corpus.py"",
            ""tests/test_local_corpus_import_query_rewrite.py""
          ],
          ""cwd"": ""/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__no_thdse_core_gate"",
          ""elapsed_s"": 0.033,
          ""exit_code"": 0,
          ""label"": ""local_corpus_import_query_v1_compile"",
          ""stderr_tail"": """",
          ""stdout_tail"": """",
          ""timed_out"": false
        },
        {
          ""args"": [
            ""/opt/hostedtoolcache/Python/3.11.15/x64/bin/python"",
            ""-m"",
            ""pytest"",
            ""-q"",
            ""--import-mode=importlib"",
            ""--maxfail=5"",
            ""--disable-warnings"",
            ""tests/test_local_corpus_import_query_rewrite.py""
          ],
          ""cwd"": ""/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__no_thdse_core_gate"",
          ""elapsed_s"": 0.194,
          ""exit_code"": 0,
          ""label"": ""local_corpus_import_query_v1_focused"",
          ""stderr_tail"": """",
          ""stdout_tail"": "".                                                                        [100%]\n1 passed in 0.02s\n"",
          ""timed_out"": false
        },
        {
          ""args"": [
            ""/opt/hostedtoolcache/Python/3.11.15/x64/bin/python"",
            ""-m"",
            ""pytest"",
            ""-q"",
            ""--import-mode=importlib"",
            ""--maxfail=20"",
            ""--disable-warnings"",
            ""tests""
          ],
          ""cwd"": ""/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__no_thdse_core_gate"",
          ""elapsed_s"": 11.978,
          ""exit_code"": 0,
          ""label"": ""local_corpus_import_query_v1_root_broad"",
          ""stderr_tail"": """",
          ""stdout_tail"": ""........................................................................ [ 16%]\n........................................................................ [ 32%]\n........................................................................ [ 49%]\n.......................................................s................ [ 65%]\n........................................................................ [ 82%]\n..............................................................s......... [ 98%]\n.....                                                                    [100%]\n435 passed, 4 skipped in 11.60s\n"",
          ""timed_out"": false
        }
      ],
      ""generation"": 2,
      ""goal"": {
        ""metric"": ""new import query API plus focused regression test"",
        ""name"": ""make_local_corpus_queryable_by_import"",
        ""rationale"": ""The corpus index stores static imports but lacks a direct import lookup API."",
        ""target"": ""shared.local_corpus.LocalCorpusIndex""
      },
      ""name"": ""local_corpus_import_query_v1"",
      ""started_at"": ""2026-05-26T07:28:17Z"",
      ""target_path"": ""shared/local_corpus.py"",
      ""test_path"": ""tests/test_local_corpus_import_query_rewrite.py""
    }
  ],
  ""active_base"": ""local_corpus_import_query_v1"",
  ""active_generation"": 2,
  ""broad_gate"": true,
  ""dry_run"": false,
  ""persistence"": true,
  ""rejected_this_run"": [],
  ""rollback"": true,
  ""state_path"": ""/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__no_thdse_core_gate/.omega_rsi_runs/closed_rsi_state.json"",
  ""thdse_core_gate"": false,
  ""total_accepted"": 2,
  ""total_rejected"": 0
}
",
local_corpus_queries_clean,no_persistence,ablation_no_persistence,"Ablation: state is not persisted, so future runs cannot resume from accepted history.",0,36.08,2,0,1.0,0,,False,2,36.08,4,/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__no_persistence/.omega_rsi_runs/closed_rsi_summary.json,"psed_s"": 0.033,
          ""exit_code"": 0,
          ""label"": ""local_corpus_import_query_v1_compile"",
          ""stderr_tail"": """",
          ""stdout_tail"": """",
          ""timed_out"": false
        },
        {
          ""args"": [
            ""/opt/hostedtoolcache/Python/3.11.15/x64/bin/python"",
            ""-m"",
            ""pytest"",
            ""-q"",
            ""--import-mode=importlib"",
            ""--maxfail=5"",
            ""--disable-warnings"",
            ""tests/test_local_corpus_import_query_rewrite.py""
          ],
          ""cwd"": ""/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__no_persistence"",
          ""elapsed_s"": 0.193,
          ""exit_code"": 0,
          ""label"": ""local_corpus_import_query_v1_focused"",
          ""stderr_tail"": """",
          ""stdout_tail"": "".                                                                        [100%]\n1 passed in 0.02s\n"",
          ""timed_out"": false
        },
        {
          ""args"": [
            ""/opt/hostedtoolcache/Python/3.11.15/x64/bin/python"",
            ""-m"",
            ""pytest"",
            ""-q"",
            ""--import-mode=importlib"",
            ""--maxfail=20"",
            ""--disable-warnings"",
            ""tests""
          ],
          ""cwd"": ""/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__no_persistence"",
          ""elapsed_s"": 11.977,
          ""exit_code"": 0,
          ""label"": ""local_corpus_import_query_v1_root_broad"",
          ""stderr_tail"": """",
          ""stdout_tail"": ""........................................................................ [ 16%]\n........................................................................ [ 32%]\n........................................................................ [ 49%]\n.......................................................s................ [ 65%]\n........................................................................ [ 82%]\n..............................................................s......... [ 98%]\n.....                                                                    [100%]\n435 passed, 4 skipped in 11.61s\n"",
          ""timed_out"": false
        },
        {
          ""args"": [
            ""/opt/hostedtoolcache/Python/3.11.15/x64/bin/python"",
            ""-m"",
            ""pytest"",
            ""-q"",
            ""--import-mode=importlib"",
            ""--maxfail=20"",
            ""--disable-warnings"",
            ""tests/test_execution_sandbox.py"",
            ""tests/test_adaptive_threshold.py"",
            ""tests/test_direct_io_scoring.py"",
            ""tests/test_structural_diff.py"",
            ""tests/test_batch_correlation.py""
          ],
          ""cwd"": ""/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__no_persistence/thdse"",
          ""elapsed_s"": 5.442,
          ""exit_code"": 0,
          ""label"": ""local_corpus_import_query_v1_thdse_core"",
          ""stderr_tail"": """",
          ""stdout_tail"": ""....................................                                     [100%]\n36 passed in 5.21s\n"",
          ""timed_out"": false
        }
      ],
      ""generation"": 2,
      ""goal"": {
        ""metric"": ""new import query API plus focused regression test"",
        ""name"": ""make_local_corpus_queryable_by_import"",
        ""rationale"": ""The corpus index stores static imports but lacks a direct import lookup API."",
        ""target"": ""shared.local_corpus.LocalCorpusIndex""
      },
      ""name"": ""local_corpus_import_query_v1"",
      ""started_at"": ""2026-05-26T07:28:48Z"",
      ""target_path"": ""shared/local_corpus.py"",
      ""test_path"": ""tests/test_local_corpus_import_query_rewrite.py""
    }
  ],
  ""active_base"": ""local_corpus_import_query_v1"",
  ""active_generation"": 2,
  ""broad_gate"": true,
  ""dry_run"": false,
  ""persistence"": false,
  ""rejected_this_run"": [],
  ""rollback"": true,
  ""state_path"": ""/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__no_persistence/.omega_rsi_runs/closed_rsi_state.json"",
  ""thdse_core_gate"": true,
  ""total_accepted"": 2,
  ""total_rejected"": 0
}
",
local_corpus_queries_clean,no_rollback,ablation_no_rollback,Ablation: rejected candidates are intentionally left in disposable copies.,0,36.822,2,0,1.0,0,,True,2,36.822,4,/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__no_rollback/.omega_rsi_runs/closed_rsi_summary.json,"        ""elapsed_s"": 0.033,
          ""exit_code"": 0,
          ""label"": ""local_corpus_import_query_v1_compile"",
          ""stderr_tail"": """",
          ""stdout_tail"": """",
          ""timed_out"": false
        },
        {
          ""args"": [
            ""/opt/hostedtoolcache/Python/3.11.15/x64/bin/python"",
            ""-m"",
            ""pytest"",
            ""-q"",
            ""--import-mode=importlib"",
            ""--maxfail=5"",
            ""--disable-warnings"",
            ""tests/test_local_corpus_import_query_rewrite.py""
          ],
          ""cwd"": ""/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__no_rollback"",
          ""elapsed_s"": 0.198,
          ""exit_code"": 0,
          ""label"": ""local_corpus_import_query_v1_focused"",
          ""stderr_tail"": """",
          ""stdout_tail"": "".                                                                        [100%]\n1 passed in 0.02s\n"",
          ""timed_out"": false
        },
        {
          ""args"": [
            ""/opt/hostedtoolcache/Python/3.11.15/x64/bin/python"",
            ""-m"",
            ""pytest"",
            ""-q"",
            ""--import-mode=importlib"",
            ""--maxfail=20"",
            ""--disable-warnings"",
            ""tests""
          ],
          ""cwd"": ""/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__no_rollback"",
          ""elapsed_s"": 12.209,
          ""exit_code"": 0,
          ""label"": ""local_corpus_import_query_v1_root_broad"",
          ""stderr_tail"": """",
          ""stdout_tail"": ""........................................................................ [ 16%]\n........................................................................ [ 32%]\n........................................................................ [ 49%]\n.......................................................s................ [ 65%]\n........................................................................ [ 82%]\n..............................................................s......... [ 98%]\n.....                                                                    [100%]\n435 passed, 4 skipped in 11.77s\n"",
          ""timed_out"": false
        },
        {
          ""args"": [
            ""/opt/hostedtoolcache/Python/3.11.15/x64/bin/python"",
            ""-m"",
            ""pytest"",
            ""-q"",
            ""--import-mode=importlib"",
            ""--maxfail=20"",
            ""--disable-warnings"",
            ""tests/test_execution_sandbox.py"",
            ""tests/test_adaptive_threshold.py"",
            ""tests/test_direct_io_scoring.py"",
            ""tests/test_structural_diff.py"",
            ""tests/test_batch_correlation.py""
          ],
          ""cwd"": ""/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__no_rollback/thdse"",
          ""elapsed_s"": 5.531,
          ""exit_code"": 0,
          ""label"": ""local_corpus_import_query_v1_thdse_core"",
          ""stderr_tail"": """",
          ""stdout_tail"": ""....................................                                     [100%]\n36 passed in 5.25s\n"",
          ""timed_out"": false
        }
      ],
      ""generation"": 2,
      ""goal"": {
        ""metric"": ""new import query API plus focused regression test"",
        ""name"": ""make_local_corpus_queryable_by_import"",
        ""rationale"": ""The corpus index stores static imports but lacks a direct import lookup API."",
        ""target"": ""shared.local_corpus.LocalCorpusIndex""
      },
      ""name"": ""local_corpus_import_query_v1"",
      ""started_at"": ""2026-05-26T07:29:24Z"",
      ""target_path"": ""shared/local_corpus.py"",
      ""test_path"": ""tests/test_local_corpus_import_query_rewrite.py""
    }
  ],
  ""active_base"": ""local_corpus_import_query_v1"",
  ""active_generation"": 2,
  ""broad_gate"": true,
  ""dry_run"": false,
  ""persistence"": true,
  ""rejected_this_run"": [],
  ""rollback"": false,
  ""state_path"": ""/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__no_rollback/.omega_rsi_runs/closed_rsi_state.json"",
  ""thdse_core_gate"": true,
  ""total_accepted"": 2,
  ""total_rejected"": 0
}
",
local_corpus_queries_clean,ci_only_validation,baseline_ci_only,Baseline: run validation without candidate generation or code patching.,0,13.032,0,0,0.0,0,,False,0,13.032,1,/tmp/rsi_experiments_3zd3n7b7/local_corpus_queries_clean__ci_only_validation/.omega_rsi_runs/closed_rsi_summary.json,"........................................................................ [ 16%]
........................................................................ [ 33%]
........................................................................ [ 49%]
.....................................................s.................. [ 66%]
........................................................................ [ 82%]
............................................................s........... [ 99%]
...                                                                      [100%]
433 passed, 4 skipped in 12.63s
",
policy_registry_self_patch,verified_closed_loop,proposed,"Full loop: candidate generation, patching, rollback, persistence, root broad gate, and THDSE core gate.",1,0.012,0,0,0.0,0,,False,0,0.012,0,/tmp/rsi_experiments_3zd3n7b7/policy_registry_self_patch__verified_closed_loop/.omega_rsi_runs/closed_rsi_summary.json,,"  File ""/tmp/rsi_experiments_3zd3n7b7/policy_registry_self_patch__verified_closed_loop/scripts/closed_recursive_self_improvement_loop.py"", line 159
    function_insertion = ""\n\n"" + POLICY_REGISTRY_ACTIVE_MARKER + '''
                                                                  ^
SyntaxError: unterminated triple-quoted string literal (detected at line 559)
"
policy_registry_self_patch,focused_only_loop,ablation_no_broad_gate,"Ablation: focused tests only, no broad regression gate.",1,0.012,0,0,0.0,0,,False,0,0.012,0,/tmp/rsi_experiments_3zd3n7b7/policy_registry_self_patch__focused_only_loop/.omega_rsi_runs/closed_rsi_summary.json,,"  File ""/tmp/rsi_experiments_3zd3n7b7/policy_registry_self_patch__focused_only_loop/scripts/closed_recursive_self_improvement_loop.py"", line 159
    function_insertion = ""\n\n"" + POLICY_REGISTRY_ACTIVE_MARKER + '''
                                                                  ^
SyntaxError: unterminated triple-quoted string literal (detected at line 559)
"
policy_registry_self_patch,no_thdse_core_gate,ablation_no_z3_thdse_gate,Ablation: root broad gate enabled but THDSE/Z3-focused core gate skipped.,1,0.012,0,0,0.0,0,,False,0,0.012,0,/tmp/rsi_experiments_3zd3n7b7/policy_registry_self_patch__no_thdse_core_gate/.omega_rsi_runs/closed_rsi_summary.json,,"  File ""/tmp/rsi_experiments_3zd3n7b7/policy_registry_self_patch__no_thdse_core_gate/scripts/closed_recursive_self_improvement_loop.py"", line 159
    function_insertion = ""\n\n"" + POLICY_REGISTRY_ACTIVE_MARKER + '''
                                                                  ^
SyntaxError: unterminated triple-quoted string literal (detected at line 559)
"
policy_registry_self_patch,no_persistence,ablation_no_persistence,"Ablation: state is not persisted, so future runs cannot resume from accepted history.",1,0.012,0,0,0.0,0,,False,0,0.012,0,/tmp/rsi_experiments_3zd3n7b7/policy_registry_self_patch__no_persistence/.omega_rsi_runs/closed_rsi_summary.json,,"  File ""/tmp/rsi_experiments_3zd3n7b7/policy_registry_self_patch__no_persistence/scripts/closed_recursive_self_improvement_loop.py"", line 159
    function_insertion = ""\n\n"" + POLICY_REGISTRY_ACTIVE_MARKER + '''
                                                                  ^
SyntaxError: unterminated triple-quoted string literal (detected at line 559)
"
